detected_model_type
afghanistan_none_idcard_design2
algeria_id_card_front
algeria_none_drivinglicense_design1
algeria_none_drivinglicense_design2
algeria_none_drivinglicense_design5
algeria_none_employmentcard_design1
algeria_none_idcard_design2
australia_newsouthwales_drivinglicense_design2
australia_western_idcard_design2
backcard_none_drivinglicense_design15
backcard_none_drivinglicense_design16
bahrain_driving_license
bahrain_id_card
bahrain_none_drivinglicense_design2
bahrain_none_idcard_design2
bahrain_none_idcard_design3
bahrain_none_idcard_design5
bahrain_passport
bills
bosnia_and_herzegovina_passport
botswana_none_idcard_design3
cambodia_none_idcard_design2
chile_none_drivinglicense_design2
congo_voter_card
cuba_passport
denmark_none_drivinglicense_design3
egypt_driving_license
egypt_passport
ethiopia_passport
finland_id_card_type2
france_none_healthcard_design1
france_passport
germany_id_card_back
greece_id_card_back
hongkong_none_idcard_design4
hungary_none_idcard_design4
hungary_none_idcard_design6
india_aadhar
india_bengal_driving_license_type1
india_driving_license_type2
india_none_votercard_design1
india_none_votercard_design3
india_none_votercard_design5
india_passport
iran_id_card
iran_none_idcard_design2
iran_none_idcard_design5
iraq_none_idcard_design2
israel_none_idcard_design2
italy_none_residencepermit_design4
ivorycoast_none_drivinglicense_design4
japan_none_idcard_design3
japan_none_residencepermit_design2
jordan_driving_license
jordan_id_card_type2
jordan_none_idcard_design3
jordan_none_idcard_design9
jordan_passport
kazakhstan_none_idcard_design4
kuwait_none_drivinglicense_design3
kuwait_none_idcard_design1
kuwait_none_idcard_design2
kuwait_passport
kyrgyzstan_none_idcard_design3
lebanon_none_drivinglicense_design2
lithuania_passport
luxembourg_none_idcard_design2
malawi_driving_license
malaysia_none_visa_design1
mauritania_none_passport_design1
mexico_bajacalifornia_drivinglicense_design4
mexico_driving_license_type2
mexico_none_drivinglicense_design10
mexico_none_drivinglicense_design12
mexico_none_residencepermit_design2
morocco_none_drivinglicense_design2
morocco_none_idcard_design4
namibia_none_idcard_design2
nigeria_passport
oman_none_drivinglicense_design1
oman_none_idcard_design2
oman_none_passport_design1
oman_none_passport_design2
oman_none_residencecard_design1
pakistan_id_card_type1_back
pakistan_passport
palestinian_territories_passport
philippines_passport_type1
poland_passport_type2
puertorico_none_idcard_design2
qatar_id_card
qatar_none_drivinglicense_design1
qatar_none_residencepermit_design2
qatar_residence_permit
russia_none_drivinglicense_design3
saudi_arabia_driving_license_type1
saudi_arabia_driving_license_type2
saudi_arabia_driving_license_type3
saudi_arabia_id_card_type1
saudi_arabia_id_card_type2
saudi_arabia_passport
saudiarabia_none_idcard_design5
saudiarabia_none_idcard_design6
saudiarabia_none_idcard_design7
saudiarabia_none_idcard_design8
saudiarabia_none_residenceidentity_design3
saudiarabia_none_residenceidentity_design4
shuftipro_none_bills_design4
singapore_none_idcard_design2
slovakia_none_drivinglicense_design4
somalia_passport
south_korea_id_card
spain_passport_type1
sweden_none_drivinglicense_design4
switzerland_id_card_back
switzerland_passport
syria_passport
taiwan_id_card
taiwan_none_idcard_design3
thailand_none_drivinglicense_design5
tunisia_driving_license
turkey_driving_license_type2
turkey_id_card_back
turkey_id_card_front
turkey_none_idcard_design3
turkey_none_idcard_design4
turkey_none_residencepermit_design3
turkey_none_residencepermit_design4
turkey_none_residencepermit_design5
turkey_passport_type2
uae_driving_license
uae_id_card
uae_none_drivinglicense_design2
uae_none_idcard_design2
uae_none_idcard_design3
uae_none_idcard_design4
uae_none_residencecard_design1
uae_passport
uk_passport
us_delaware_id_card_vertical
us_georgia_drivinglicense_design5
us_hawaii_driving_license_vertical
us_louisiana_idcard_design2
us_maryland_drivinglicense_design5
us_maryland_id_card_vertical
us_new_mexico_id_card_vertical
us_newyork_drivinglicense_design8
us_none_drivinglicense_design3
us_none_residencepermit_design1
us_none_uniformidcard_design4
us_ohio_idcard_design5
us_oregon_drivinglicense_design5
us_oregon_id_card_vertical
us_south_carolina_driving_license_v_type1
us_texas_drivinglicense_design10
us_utah_id_card_v_type2
us_veteran_id_card
us_westvirginia_drivinglicense_design5
us_wisconsin_drivinglicense_design7
usa_passport
vietnam_id_card_type1_back
